Freq.	V(vout)/V(vin)
1.00000000000000e+000	(1.88881992247343e+001dB,-6.33127992572367e-004°)
1.02329299228075e+000	(1.88881992247119e+001dB,-6.47875438015029e-004°)
1.04712854805090e+000	(1.88881992246883e+001dB,-6.62966395590472e-004°)
1.07151930523761e+000	(1.88881992246637e+001dB,-6.78408866724148e-004°)
1.09647819614318e+000	(1.88881992246378e+001dB,-6.94211039218650e-004°)
1.12201845430196e+000	(1.88881992246108e+001dB,-7.10381291594992e-004°)
1.14815362149688e+000	(1.88881992245825e+001dB,-7.26928197535016e-004°)
1.17489755493953e+000	(1.88881992245529e+001dB,-7.43860530427264e-004°)
1.20226443461741e+000	(1.88881992245218e+001dB,-7.61187268018752e-004°)
1.23026877081238e+000	(1.88881992244893e+001dB,-7.78917597175086e-004°)
1.25892541179417e+000	(1.88881992244553e+001dB,-7.97060918751463e-004°)
1.28824955169313e+000	(1.88881992244197e+001dB,-8.15626852577125e-004°)
1.31825673855641e+000	(1.88881992243823e+001dB,-8.34625242555922e-004°)
1.34896288259165e+000	(1.88881992243433e+001dB,-8.54066161885681e-004°)
1.38038426460288e+000	(1.88881992243023e+001dB,-8.73959918399148e-004°)
1.41253754462275e+000	(1.88881992242595e+001dB,-8.94317060029330e-004°)
1.44543977074593e+000	(1.88881992242146e+001dB,-9.15148380402164e-004°)
1.47910838816821e+000	(1.88881992241677e+001dB,-9.36464924559427e-004°)
1.51356124843621e+000	(1.88881992241185e+001dB,-9.58277994814971e-004°)
1.54881661891248e+000	(1.88881992240670e+001dB,-9.80599156747353e-004°)
1.58489319246111e+000	(1.88881992240130e+001dB,-1.00344024533206e-003°)
1.62181009735893e+000	(1.88881992239566e+001dB,-1.02681337121657e-003°)
1.65958690743756e+000	(1.88881992238974e+001dB,-1.05073092714159e-003°)
1.69824365246174e+000	(1.88881992238355e+001dB,-1.07520559451183e-003°)
1.73780082874937e+000	(1.88881992237706e+001dB,-1.10025035011984e-003°)
1.77827941003892e+000	(1.88881992237027e+001dB,-1.12587847302654e-003°)
1.81970085860998e+000	(1.88881992236316e+001dB,-1.15210355160188e-003°)
1.86208713666287e+000	(1.88881992235572e+001dB,-1.17893949072961e-003°)
1.90546071796325e+000	(1.88881992234792e+001dB,-1.20640051917983e-003°)
1.94984459975804e+000	(1.88881992233976e+001dB,-1.23450119715328e-003°)
1.99526231496888e+000	(1.88881992233121e+001dB,-1.26325642400133e-003°)
2.04173794466953e+000	(1.88881992232226e+001dB,-1.29268144612582e-003°)
2.08929613085404e+000	(1.88881992231289e+001dB,-1.32279186506292e-003°)
2.13796208950223e+000	(1.88881992230307e+001dB,-1.35360364575524e-003°)
2.18776162394955e+000	(1.88881992229279e+001dB,-1.38513312501671e-003°)
2.23872113856834e+000	(1.88881992228203e+001dB,-1.41739702019448e-003°)
2.29086765276777e+000	(1.88881992227076e+001dB,-1.45041243803279e-003°)
2.34422881531992e+000	(1.88881992225896e+001dB,-1.48419688374310e-003°)
2.39883291901949e+000	(1.88881992224660e+001dB,-1.51876827028565e-003°)
2.45470891568503e+000	(1.88881992223367e+001dB,-1.55414492786710e-003°)
2.51188643150958e+000	(1.88881992222012e+001dB,-1.59034561365946e-003°)
2.57039578276886e+000	(1.88881992220593e+001dB,-1.62738952174543e-003°)
2.63026799189538e+000	(1.88881992219108e+001dB,-1.66529629329530e-003°)
2.69153480392691e+000	(1.88881992217552e+001dB,-1.70408602698098e-003°)
2.75422870333816e+000	(1.88881992215923e+001dB,-1.74377928963261e-003°)
2.81838293126445e+000	(1.88881992214218e+001dB,-1.78439712714330e-003°)
2.88403150312660e+000	(1.88881992212432e+001dB,-1.82596107562801e-003°)
2.95120922666638e+000	(1.88881992210561e+001dB,-1.86849317284225e-003°)
3.01995172040201e+000	(1.88881992208603e+001dB,-1.91201596986677e-003°)
3.09029543251359e+000	(1.88881992206552e+001dB,-1.95655254306448e-003°)
3.16227766016837e+000	(1.88881992204405e+001dB,-2.00212650631581e-003°)
3.23593656929628e+000	(1.88881992202157e+001dB,-2.04876202353913e-003°)
3.31131121482591e+000	(1.88881992199802e+001dB,-2.09648382150276e-003°)
3.38844156139202e+000	(1.88881992197337e+001dB,-2.14531720293542e-003°)
3.46736850452531e+000	(1.88881992194755e+001dB,-2.19528805994209e-003°)
3.54813389233575e+000	(1.88881992192052e+001dB,-2.24642288773234e-003°)
3.63078054770101e+000	(1.88881992189221e+001dB,-2.29874879866844e-003°)
3.71535229097172e+000	(1.88881992186257e+001dB,-2.35229353664069e-003°)
3.80189396320560e+000	(1.88881992183153e+001dB,-2.40708549177758e-003°)
3.89045144994280e+000	(1.88881992179903e+001dB,-2.46315371549866e-003°)
3.98107170553496e+000	(1.88881992176500e+001dB,-2.52052793591791e-003°)
4.07380277804112e+000	(1.88881992172937e+001dB,-2.57923857360606e-003°)
4.16869383470335e+000	(1.88881992169205e+001dB,-2.63931675771991e-003°)
4.26579518801592e+000	(1.88881992165298e+001dB,-2.70079434250747e-003°)
4.36515832240165e+000	(1.88881992161206e+001dB,-2.76370392419745e-003°)
4.46683592150962e+000	(1.88881992156922e+001dB,-2.82807885828225e-003°)
4.57088189614874e+000	(1.88881992152436e+001dB,-2.89395327720349e-003°)
4.67735141287197e+000	(1.88881992147738e+001dB,-2.96136210844944e-003°)
4.78630092322637e+000	(1.88881992142819e+001dB,-3.03034109307404e-003°)
4.89778819368445e+000	(1.88881992137668e+001dB,-3.10092680464730e-003°)
5.01187233627271e+000	(1.88881992132274e+001dB,-3.17315666864710e-003°)
5.12861383991364e+000	(1.88881992126626e+001dB,-3.24706898230261e-003°)
5.24807460249771e+000	(1.88881992120712e+001dB,-3.32270293490004e-003°)
5.37031796370252e+000	(1.88881992114519e+001dB,-3.40009862856131e-003°)
5.49540873857623e+000	(1.88881992108035e+001dB,-3.47929709950668e-003°)
5.62341325190348e+000	(1.88881992101244e+001dB,-3.56034033981273e-003°)
5.75439937337156e+000	(1.88881992094134e+001dB,-3.64327131967711e-003°)
5.88843655355588e+000	(1.88881992086689e+001dB,-3.72813401020187e-003°)
6.02559586074356e+000	(1.88881992078892e+001dB,-3.81497340670756e-003°)
6.16595001861481e+000	(1.88881992070729e+001dB,-3.90383555259032e-003°)
6.30957344480192e+000	(1.88881992062180e+001dB,-3.99476756373465e-003°)
6.45654229034654e+000	(1.88881992053229e+001dB,-4.08781765349494e-003°)
6.60693448007594e+000	(1.88881992043856e+001dB,-4.18303515825877e-003°)
6.76082975391980e+000	(1.88881992034041e+001dB,-4.28047056360574e-003°)
6.91830970918935e+000	(1.88881992023763e+001dB,-4.38017553107555e-003°)
7.07945784384136e+000	(1.88881992013001e+001dB,-4.48220292555966e-003°)
7.24435960074988e+000	(1.88881992001732e+001dB,-4.58660684333090e-003°)
7.41310241300916e+000	(1.88881991989932e+001dB,-4.69344264072608e-003°)
7.58577575029182e+000	(1.88881991977576e+001dB,-4.80276696349659e-003°)
7.76247116628690e+000	(1.88881991964637e+001dB,-4.91463777684273e-003°)
7.94328234724279e+000	(1.88881991951089e+001dB,-5.02911439614763e-003°)
8.12830516164097e+000	(1.88881991936902e+001dB,-5.14625751842701e-003°)
8.31763771102669e+000	(1.88881991922047e+001dB,-5.26612925451154e-003°)
8.51138038202374e+000	(1.88881991906491e+001dB,-5.38879316197882e-003°)
8.70963589956078e+000	(1.88881991890202e+001dB,-5.51431427885241e-003°)
8.91250938133743e+000	(1.88881991873146e+001dB,-5.64275915808586e-003°)
9.12010839355907e+000	(1.88881991855286e+001dB,-5.77419590284990e-003°)
9.33254300796988e+000	(1.88881991836584e+001dB,-5.90869420264169e-003°)
9.54992586021433e+000	(1.88881991817000e+001dB,-6.04632537023503e-003°)
9.77237220955808e+000	(1.88881991796494e+001dB,-6.18716237949133e-003°)
9.99999999999997e+000	(1.88881991775021e+001dB,-6.33127990405133e-003°)
1.02329299228075e+001	(1.88881991752537e+001dB,-6.47875435692796e-003°)
1.04712854805090e+001	(1.88881991728992e+001dB,-6.62966393102155e-003°)
1.07151930523760e+001	(1.88881991704338e+001dB,-6.78408864057868e-003°)
1.09647819614318e+001	(1.88881991678522e+001dB,-6.94211036361680e-003°)
1.12201845430196e+001	(1.88881991651490e+001dB,-7.10381288533694e-003°)
1.14815362149688e+001	(1.88881991623183e+001dB,-7.26928194254775e-003°)
1.17489755493953e+001	(1.88881991593543e+001dB,-7.43860526912422e-003°)
1.20226443461741e+001	(1.88881991562505e+001dB,-7.61187264252531e-003°)
1.23026877081238e+001	(1.88881991530005e+001dB,-7.78917593139508e-003°)
1.25892541179416e+001	(1.88881991495973e+001dB,-7.97060914427263e-003°)
1.28824955169313e+001	(1.88881991460337e+001dB,-8.15626847943661e-003°)
1.31825673855640e+001	(1.88881991423022e+001dB,-8.34625237591076e-003°)
1.34896288259165e+001	(1.88881991383948e+001dB,-8.54066156565753e-003°)
1.38038426460288e+001	(1.88881991343033e+001dB,-8.73959912698741e-003°)
1.41253754462275e+001	(1.88881991300189e+001dB,-8.94317053921235e-003°)
1.44543977074592e+001	(1.88881991255326e+001dB,-9.15148373857224e-003°)
1.47910838816820e+001	(1.88881991208349e+001dB,-9.36464917546398e-003°)
1.51356124843620e+001	(1.88881991159158e+001dB,-9.58277987300375e-003°)
1.54881661891248e+001	(1.88881991107648e+001dB,-9.80599148695317e-003°)
1.58489319246111e+001	(1.88881991053711e+001dB,-1.00344023670415e-002°)
1.62181009735892e+001	(1.88881990997232e+001dB,-1.02681336197160e-002°)
1.65958690743755e+001	(1.88881990938091e+001dB,-1.05073091723543e-002°)
1.69824365246174e+001	(1.88881990876163e+001dB,-1.07520558389718e-002°)
