v3	V(vin)	V(vout)
-5.400000000000034e+000	-5.400000e+000	5.462379e-001
-5.300000000000035e+000	-5.300000e+000	5.362385e-001
-5.200000000000035e+000	-5.200000e+000	5.262390e-001
-5.100000000000035e+000	-5.100000e+000	5.162396e-001
-5.000000000000036e+000	-5.000000e+000	5.062402e-001
-4.900000000000036e+000	-4.900000e+000	4.962407e-001
-4.800000000000036e+000	-4.800000e+000	4.862413e-001
-4.700000000000037e+000	-4.700000e+000	4.762419e-001
-4.600000000000037e+000	-4.600000e+000	4.662424e-001
-4.500000000000037e+000	-4.500000e+000	4.562430e-001
-4.400000000000038e+000	-4.400000e+000	4.462436e-001
-4.300000000000038e+000	-4.300000e+000	4.362441e-001
-4.200000000000038e+000	-4.200000e+000	4.262447e-001
-4.100000000000039e+000	-4.100000e+000	4.162453e-001
-4.000000000000039e+000	-4.000000e+000	4.062458e-001
-3.900000000000039e+000	-3.900000e+000	3.962464e-001
-3.800000000000039e+000	-3.800000e+000	3.862469e-001
-3.700000000000039e+000	-3.700000e+000	3.762475e-001
-3.600000000000039e+000	-3.600000e+000	3.662481e-001
-3.500000000000039e+000	-3.500000e+000	3.562486e-001
-3.400000000000039e+000	-3.400000e+000	3.462492e-001
-3.300000000000039e+000	-3.300000e+000	3.362498e-001
-3.200000000000038e+000	-3.200000e+000	3.262503e-001
-3.100000000000038e+000	-3.100000e+000	3.162509e-001
-3.000000000000038e+000	-3.000000e+000	3.062515e-001
-2.900000000000038e+000	-2.900000e+000	2.962520e-001
-2.800000000000038e+000	-2.800000e+000	2.862526e-001
-2.700000000000038e+000	-2.700000e+000	2.762532e-001
-2.600000000000038e+000	-2.600000e+000	2.662537e-001
-2.500000000000038e+000	-2.500000e+000	2.562543e-001
-2.400000000000038e+000	-2.400000e+000	2.462549e-001
-2.300000000000038e+000	-2.300000e+000	2.362554e-001
-2.200000000000038e+000	-2.200000e+000	2.262560e-001
-2.100000000000037e+000	-2.100000e+000	2.162566e-001
-2.000000000000037e+000	-2.000000e+000	2.062571e-001
-1.900000000000037e+000	-1.900000e+000	1.962577e-001
-1.800000000000037e+000	-1.800000e+000	1.862583e-001
-1.700000000000037e+000	-1.700000e+000	1.762588e-001
-1.600000000000037e+000	-1.600000e+000	1.662594e-001
-1.500000000000037e+000	-1.500000e+000	1.562600e-001
-1.400000000000037e+000	-1.400000e+000	1.462605e-001
-1.300000000000037e+000	-1.300000e+000	1.362611e-001
-1.200000000000037e+000	-1.200000e+000	1.262617e-001
-1.100000000000037e+000	-1.100000e+000	1.162622e-001
-1.000000000000036e+000	-1.000000e+000	1.062628e-001
-9.000000000000364e-001	-9.000000e-001	9.626336e-002
-8.000000000000365e-001	-8.000000e-001	8.626392e-002
-7.000000000000365e-001	-7.000000e-001	7.626449e-002
-6.000000000000365e-001	-6.000000e-001	6.626505e-002
-5.000000000000365e-001	-5.000000e-001	5.626562e-002
-4.000000000000366e-001	-4.000000e-001	4.626619e-002
-3.000000000000366e-001	-3.000000e-001	3.626675e-002
-2.000000000000366e-001	-2.000000e-001	2.626732e-002
-1.000000000000366e-001	-1.000000e-001	1.626788e-002
-3.655409308578328e-014	-3.655409e-014	6.268447e-003
9.999999999996345e-002	1.000000e-001	-3.730988e-003
1.999999999999635e-001	2.000000e-001	-1.373042e-002
2.999999999999635e-001	3.000000e-001	-2.372986e-002
3.999999999999635e-001	4.000000e-001	-3.372929e-002
4.999999999999635e-001	5.000000e-001	-4.372873e-002
5.999999999999635e-001	6.000000e-001	-5.372816e-002
6.999999999999634e-001	7.000000e-001	-6.372759e-002
7.999999999999634e-001	8.000000e-001	-7.372703e-002
8.999999999999634e-001	9.000000e-001	-8.372647e-002
9.999999999999634e-001	1.000000e+000	-9.372590e-002
1.099999999999964e+000	1.100000e+000	-1.037253e-001
1.199999999999964e+000	1.200000e+000	-1.137248e-001
1.299999999999964e+000	1.300000e+000	-1.237242e-001
1.399999999999964e+000	1.400000e+000	-1.337236e-001
1.499999999999964e+000	1.500000e+000	-1.437231e-001
1.599999999999964e+000	1.600000e+000	-1.537225e-001
1.699999999999964e+000	1.700000e+000	-1.637219e-001
1.799999999999964e+000	1.800000e+000	-1.737214e-001
1.899999999999964e+000	1.900000e+000	-1.837208e-001
1.999999999999964e+000	2.000000e+000	-1.937203e-001
2.099999999999964e+000	2.100000e+000	-2.037197e-001
2.199999999999964e+000	2.200000e+000	-2.137191e-001
2.299999999999964e+000	2.300000e+000	-2.237186e-001
2.399999999999964e+000	2.400000e+000	-2.337180e-001
