v3	V(vin)	V(vout)
-1.500000000000000e+001	-1.500000e+001	1.370012e+001
-1.490000000000000e+001	-1.490000e+001	1.370017e+001
-1.480000000000000e+001	-1.480000e+001	1.370021e+001
-1.470000000000000e+001	-1.470000e+001	1.370026e+001
-1.460000000000000e+001	-1.460000e+001	1.370031e+001
-1.450000000000000e+001	-1.450000e+001	1.370036e+001
-1.440000000000000e+001	-1.440000e+001	1.370040e+001
-1.430000000000000e+001	-1.430000e+001	1.370045e+001
-1.420000000000000e+001	-1.420000e+001	1.370050e+001
-1.410000000000000e+001	-1.410000e+001	1.370054e+001
-1.400000000000000e+001	-1.400000e+001	1.370059e+001
-1.390000000000000e+001	-1.390000e+001	1.370064e+001
-1.380000000000000e+001	-1.380000e+001	1.370069e+001
-1.370000000000001e+001	-1.370000e+001	1.370073e+001
-1.360000000000001e+001	-1.360000e+001	1.370078e+001
-1.350000000000001e+001	-1.350000e+001	1.370083e+001
-1.340000000000001e+001	-1.340000e+001	1.370088e+001
-1.330000000000001e+001	-1.330000e+001	1.370092e+001
-1.320000000000001e+001	-1.320000e+001	1.370097e+001
-1.310000000000001e+001	-1.310000e+001	1.370102e+001
-1.300000000000001e+001	-1.300000e+001	1.370106e+001
-1.290000000000001e+001	-1.290000e+001	1.370111e+001
-1.280000000000001e+001	-1.280000e+001	1.370116e+001
-1.270000000000001e+001	-1.270000e+001	1.370121e+001
-1.260000000000001e+001	-1.260000e+001	1.370125e+001
-1.250000000000001e+001	-1.250000e+001	1.370130e+001
-1.240000000000001e+001	-1.240000e+001	1.370135e+001
-1.230000000000001e+001	-1.230000e+001	1.370140e+001
-1.220000000000001e+001	-1.220000e+001	1.370144e+001
-1.210000000000001e+001	-1.210000e+001	1.370149e+001
-1.200000000000001e+001	-1.200000e+001	1.370154e+001
-1.190000000000001e+001	-1.190000e+001	1.370158e+001
-1.180000000000001e+001	-1.180000e+001	1.370163e+001
-1.170000000000001e+001	-1.170000e+001	1.370168e+001
-1.160000000000001e+001	-1.160000e+001	1.370173e+001
-1.150000000000001e+001	-1.150000e+001	1.370177e+001
-1.140000000000001e+001	-1.140000e+001	1.370182e+001
-1.130000000000001e+001	-1.130000e+001	1.370187e+001
-1.120000000000001e+001	-1.120000e+001	1.370191e+001
-1.110000000000001e+001	-1.110000e+001	1.370196e+001
-1.100000000000001e+001	-1.100000e+001	1.370201e+001
-1.090000000000002e+001	-1.090000e+001	1.370206e+001
-1.080000000000002e+001	-1.080000e+001	1.370210e+001
-1.070000000000002e+001	-1.070000e+001	1.370215e+001
-1.060000000000002e+001	-1.060000e+001	1.370220e+001
-1.050000000000002e+001	-1.050000e+001	1.370225e+001
-1.040000000000002e+001	-1.040000e+001	1.370229e+001
-1.030000000000002e+001	-1.030000e+001	1.370234e+001
-1.020000000000002e+001	-1.020000e+001	1.370239e+001
-1.010000000000002e+001	-1.010000e+001	1.370243e+001
-1.000000000000002e+001	-1.000000e+001	1.370248e+001
-9.900000000000018e+000	-9.900000e+000	1.370253e+001
-9.800000000000019e+000	-9.800000e+000	1.370258e+001
-9.700000000000019e+000	-9.700000e+000	1.370262e+001
-9.600000000000019e+000	-9.600000e+000	1.370267e+001
-9.500000000000020e+000	-9.500000e+000	1.370272e+001
-9.400000000000020e+000	-9.400000e+000	1.370277e+001
-9.300000000000020e+000	-9.300000e+000	1.370281e+001
-9.200000000000021e+000	-9.200000e+000	1.370286e+001
-9.100000000000021e+000	-9.100000e+000	1.370291e+001
-9.000000000000021e+000	-9.000000e+000	1.370295e+001
-8.900000000000022e+000	-8.900000e+000	1.370300e+001
-8.800000000000022e+000	-8.800000e+000	1.370305e+001
-8.700000000000022e+000	-8.700000e+000	1.370310e+001
-8.600000000000023e+000	-8.600000e+000	1.370314e+001
-8.500000000000023e+000	-8.500000e+000	1.370319e+001
-8.400000000000023e+000	-8.400000e+000	1.370324e+001
-8.300000000000024e+000	-8.300000e+000	1.370329e+001
-8.200000000000024e+000	-8.200000e+000	1.370333e+001
-8.100000000000025e+000	-8.100000e+000	1.370338e+001
-8.000000000000025e+000	-8.000000e+000	1.370343e+001
-7.900000000000025e+000	-7.900000e+000	1.370347e+001
-7.800000000000026e+000	-7.800000e+000	1.370352e+001
-7.700000000000026e+000	-7.700000e+000	1.370357e+001
-7.600000000000026e+000	-7.600000e+000	1.370362e+001
-7.500000000000027e+000	-7.500000e+000	1.370366e+001
-7.400000000000027e+000	-7.400000e+000	1.370371e+001
-7.300000000000027e+000	-7.300000e+000	1.370376e+001
-7.200000000000028e+000	-7.200000e+000	1.370380e+001
-7.100000000000028e+000	-7.100000e+000	1.370385e+001
-7.000000000000028e+000	-7.000000e+000	1.370390e+001
-6.900000000000029e+000	-6.900000e+000	1.370395e+001
-6.800000000000029e+000	-6.800000e+000	1.370399e+001
-6.700000000000030e+000	-6.700000e+000	1.370404e+001
-6.600000000000030e+000	-6.600000e+000	1.370409e+001
-6.500000000000030e+000	-6.500000e+000	1.370414e+001
-6.400000000000031e+000	-6.400000e+000	1.370418e+001
-6.300000000000031e+000	-6.300000e+000	1.370423e+001
-6.200000000000031e+000	-6.200000e+000	1.370428e+001
-6.100000000000032e+000	-6.100000e+000	1.370432e+001
-6.000000000000032e+000	-6.000000e+000	1.370437e+001
-5.900000000000032e+000	-5.900000e+000	1.370442e+001
-5.800000000000033e+000	-5.800000e+000	1.370447e+001
-5.700000000000033e+000	-5.700000e+000	1.370451e+001
-5.600000000000033e+000	-5.600000e+000	1.370456e+001
-5.500000000000034e+000	-5.500000e+000	1.370461e+001
-5.400000000000034e+000	-5.400000e+000	1.370466e+001
-5.300000000000035e+000	-5.300000e+000	1.370470e+001
-5.200000000000035e+000	-5.200000e+000	1.370475e+001
-5.100000000000035e+000	-5.100000e+000	1.370480e+001
-5.000000000000036e+000	-5.000000e+000	1.370484e+001
-4.900000000000036e+000	-4.900000e+000	1.370489e+001
-4.800000000000036e+000	-4.800000e+000	1.370494e+001
-4.700000000000037e+000	-4.700000e+000	1.370499e+001
-4.600000000000037e+000	-4.600000e+000	1.370503e+001
-4.500000000000037e+000	-4.500000e+000	1.370508e+001
-4.400000000000038e+000	-4.400000e+000	1.370513e+001
-4.300000000000038e+000	-4.300000e+000	1.370518e+001
-4.200000000000038e+000	-4.200000e+000	1.370522e+001
-4.100000000000039e+000	-4.100000e+000	1.370527e+001
-4.000000000000039e+000	-4.000000e+000	1.370532e+001
-3.900000000000039e+000	-3.900000e+000	1.370536e+001
-3.800000000000039e+000	-3.800000e+000	1.370541e+001
-3.700000000000039e+000	-3.700000e+000	1.370546e+001
-3.600000000000039e+000	-3.600000e+000	1.370551e+001
-3.500000000000039e+000	-3.500000e+000	1.370555e+001
-3.400000000000039e+000	-3.400000e+000	1.370560e+001
-3.300000000000039e+000	-3.300000e+000	1.370565e+001
-3.200000000000038e+000	-3.200000e+000	1.370570e+001
-3.100000000000038e+000	-3.100000e+000	1.370574e+001
-3.000000000000038e+000	-3.000000e+000	1.370579e+001
-2.900000000000038e+000	-2.900000e+000	1.370584e+001
-2.800000000000038e+000	-2.800000e+000	1.370588e+001
-2.700000000000038e+000	-2.700000e+000	1.370593e+001
-2.600000000000038e+000	-2.600000e+000	1.370598e+001
-2.500000000000038e+000	-2.500000e+000	1.370603e+001
-2.400000000000038e+000	-2.400000e+000	1.370607e+001
-2.300000000000038e+000	-2.300000e+000	1.370612e+001
-2.200000000000038e+000	-2.200000e+000	1.370617e+001
-2.100000000000037e+000	-2.100000e+000	1.370621e+001
-2.000000000000037e+000	-2.000000e+000	1.370626e+001
-1.900000000000037e+000	-1.900000e+000	1.370631e+001
-1.800000000000037e+000	-1.800000e+000	1.370636e+001
-1.700000000000037e+000	-1.700000e+000	1.370640e+001
-1.600000000000037e+000	-1.600000e+000	1.370645e+001
-1.500000000000037e+000	-1.500000e+000	1.370650e+001
