time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	6.266358e-002
5.714285699858532e-007	1.795196e-004	6.244564e-002
1.142857139971706e-006	3.590392e-004	6.201085e-002
1.714285709957560e-006	5.385587e-004	6.135923e-002
2.285714279943413e-006	7.180782e-004	6.049077e-002
2.857142849929266e-006	8.975977e-004	5.940548e-002
3.428571419915119e-006	1.077117e-003	5.810335e-002
3.999999989900971e-006	1.256637e-003	5.658438e-002
6.897790830619253e-006	2.167003e-003	4.855156e-002
1.011991026023386e-005	3.179258e-003	3.871872e-002
2.104591914396867e-005	6.611723e-003	4.484233e-003
3.423254603599173e-005	1.075444e-002	-3.692617e-002
4.741917292801478e-005	1.489680e-002	-7.832937e-002
6.060579982003784e-005	1.903879e-002	-1.197254e-001
7.379242671206091e-005	2.318043e-002	-1.611142e-001
8.697905360408398e-005	2.732170e-002	-2.024957e-001
1.001656804961070e-004	3.146260e-002	-2.438701e-001
1.133523073881301e-004	3.560315e-002	-2.852373e-001
1.191098832530240e-004	3.741074e-002	-2.850161e-001
1.193965716545830e-004	3.750074e-002	-2.858552e-001
1.205505248959484e-004	3.786301e-002	-2.963973e-001
1.212263335771282e-004	3.807517e-002	-3.011331e-001
1.225028987181375e-004	3.847592e-002	-3.089650e-001
1.238480142127705e-004	3.889818e-002	-3.152761e-001
1.265382452020366e-004	3.974269e-002	-3.258807e-001
1.291375410186163e-004	4.055863e-002	-3.345128e-001
1.373406748961072e-004	4.313350e-002	-3.603749e-001
1.455438087735981e-004	4.570805e-002	-3.862054e-001
1.537469426510890e-004	4.828226e-002	-4.120041e-001
1.619500765285800e-004	5.085615e-002	-4.377711e-001
1.701532104060709e-004	5.342971e-002	-4.635064e-001
1.783563442835618e-004	5.600294e-002	-4.892100e-001
1.865594781610527e-004	5.857584e-002	-5.148818e-001
3.341703629168668e-004	1.050339e-001	-9.792388e-001
4.817812476726809e-004	1.510219e-001	-1.438918e+000
6.293921324284949e-004	1.965399e-001	-1.893919e+000
7.770030171843091e-004	2.415878e-001	-2.344241e+000
9.246139019401231e-004	2.861657e-001	-2.789886e+000
1.072224786695937e-003	3.302735e-001	-3.230852e+000
1.219835671451751e-003	3.739113e-001	-3.667141e+000
1.484505007536178e-003	4.507275e-001	-4.435202e+000
1.749174343620606e-003	5.232852e-001	-5.160749e+000
2.013843679705034e-003	5.915845e-001	-5.843783e+000
2.278513015789461e-003	6.556254e-001	-6.484303e+000
2.543182351873888e-003	7.154078e-001	-7.082310e+000
2.807851687958316e-003	7.709319e-001	-7.637804e+000
3.072521024042743e-003	8.221975e-001	-8.150784e+000
3.204322800804251e-003	8.450548e-001	-8.379539e+000
3.794130093500255e-003	9.285497e-001	-9.215656e+000
4.383937386196261e-003	9.793638e-001	-9.725091e+000
4.973744678892266e-003	9.974969e-001	-9.907844e+000
5.563551971588271e-003	9.829491e-001	-9.763917e+000
6.153359264284276e-003	9.357204e-001	-9.293307e+000
6.743166556980281e-003	8.558109e-001	-8.496016e+000
7.332973849676284e-003	7.432204e-001	-7.372044e+000
7.571446924453079e-003	6.902005e-001	-6.842566e+000
7.809919999229875e-003	6.341450e-001	-6.282706e+000
8.048393074006672e-003	5.750539e-001	-5.692464e+000
8.286866148783467e-003	5.129273e-001	-5.071839e+000
8.525339223560262e-003	4.477651e-001	-4.420832e+000
8.763812298337058e-003	3.795674e-001	-3.739443e+000
9.002285373113853e-003	3.083341e-001	-3.027672e+000
9.279995334051371e-003	2.242722e-001	-2.187648e+000
9.367420794528576e-003	1.973732e-001	-1.918833e+000
9.454846255005782e-003	1.703766e-001	-1.649038e+000
9.542271715482987e-003	1.432826e-001	-1.378261e+000
9.629697175960190e-003	1.160910e-001	-1.106502e+000
9.717122636437396e-003	8.880184e-002	-8.337626e-001
9.804548096914601e-003	6.141518e-002	-5.600415e-001
9.891973557391806e-003	3.393099e-002	-2.853389e-001
9.892266975823729e-003	3.383887e-002	-2.847110e-001
9.892916659525384e-003	3.363488e-002	-2.848184e-001
9.897603212145468e-003	3.216335e-002	-2.863492e-001
9.898186273634410e-003	3.198027e-002	-2.865397e-001
9.898332039006646e-003	3.193450e-002	-2.856228e-001
9.898521603306345e-003	3.187498e-002	-2.844163e-001
9.898714421912676e-003	3.181443e-002	-2.838524e-001
9.908966609115994e-003	2.859508e-002	-2.872849e-001
9.909041757038301e-003	2.857149e-002	-2.873094e-001
9.909192052882912e-003	2.852429e-002	-2.866274e-001
9.909327788592510e-003	2.848166e-002	-2.850136e-001
9.909458473059239e-003	2.844062e-002	-2.838700e-001
9.909554290833291e-003	2.841053e-002	-2.837847e-001
9.915081659622640e-003	2.667472e-002	-2.856302e-001
9.915200544241056e-003	2.663738e-002	-2.850627e-001
9.915438313477885e-003	2.656271e-002	-2.797268e-001
9.915752753901767e-003	2.646396e-002	-2.698348e-001
9.916042128166960e-003	2.637308e-002	-2.623868e-001
9.916412889931722e-003	2.625665e-002	-2.537253e-001
9.917154413461244e-003	2.602377e-002	-2.393538e-001
9.918637460520290e-003	2.555801e-002	-2.192007e-001
9.920179200301039e-003	2.507382e-002	-2.058273e-001
9.921939326017832e-003	2.452103e-002	-1.955200e-001
9.924055205405123e-003	2.385650e-002	-1.862627e-001
9.926654037236856e-003	2.304027e-002	-1.770030e-001
9.930554038711466e-003	2.181536e-002	-1.642700e-001
9.938191292640106e-003	1.941652e-002	-1.402811e-001
9.945828546568744e-003	1.701761e-002	-1.162940e-001
9.953465800497384e-003	1.461862e-002	-9.230881e-002
9.961103054426022e-003	1.221955e-002	-6.832553e-002
9.968740308354662e-003	9.820398e-003	-4.434416e-002
9.976377562283300e-003	7.421174e-003	-2.036468e-002
9.984014816211939e-003	5.021872e-003	3.612896e-003
1.003764162097173e-002	-1.183713e-002	1.721250e-001
1.009126842573152e-002	-2.868083e-002	3.404868e-001
1.014489523049132e-002	-4.550923e-002	5.086980e-001
1.019852203525111e-002	-6.232233e-002	6.767589e-001
1.025214884001090e-002	-7.912014e-002	8.446693e-001
1.030577564477069e-002	-9.590265e-002	1.012429e+000
1.035940244953048e-002	-1.126699e-001	1.180039e+000
1.053837983507555e-002	-1.687572e-001	1.740722e+000
1.071735722062061e-002	-2.238845e-001	2.291836e+000
1.089633460616568e-002	-2.780518e-001	2.833380e+000
1.107531199171074e-002	-3.312591e-001	3.365355e+000
1.125428937725581e-002	-3.835064e-001	3.887762e+000
1.143326676280087e-002	-4.347937e-001	4.400598e+000
1.161224414834594e-002	-4.851209e-001	4.903866e+000
1.197833425514266e-002	-5.822651e-001	5.875397e+000
1.231536959155869e-002	-6.665375e-001	6.718329e+000
1.265240492797472e-002	-7.415838e-001	7.469098e+000
1.298944026439074e-002	-8.074041e-001	8.127704e+000
1.332647560080677e-002	-8.639982e-001	8.694146e+000
1.366351093722280e-002	-9.113663e-001	9.168424e+000
1.400054627363883e-002	-9.495083e-001	9.550538e+000
1.433758161005485e-002	-9.784242e-001	9.840489e+000
1.477359972608510e-002	-9.956444e-001	1.001388e+001
1.520961784211534e-002	-9.953509e-001	1.001216e+001
1.564563595814558e-002	-9.775438e-001	9.835342e+000
1.608165407417582e-002	-9.422229e-001	9.483419e+000
1.651767219020606e-002	-8.893883e-001	8.956393e+000
1.695369030623631e-002	-8.190401e-001	8.254263e+000
1.738970842226655e-002	-7.311781e-001	7.377029e+000
1.751286864827102e-002	-7.041319e-001	7.106939e+000
