Freq.	V(vout)/V(v1)
1.00000000000000e+001	(4.08173034557479e+000dB,-1.16037234166756e-003°)
1.25892541179417e+001	(4.08173034510712e+000dB,-1.46082222804797e-003°)
1.58489319246111e+001	(4.08173034436592e+000dB,-1.83906622496262e-003°)
1.99526231496888e+001	(4.08173034319121e+000dB,-2.31524720449650e-003°)
2.51188643150958e+001	(4.08173034132940e+000dB,-2.91472354016384e-003°)
3.16227766016838e+001	(4.08173033837864e+000dB,-3.66941953274323e-003°)
3.98107170553497e+001	(4.08173033370200e+000dB,-4.61952549565852e-003°)
5.01187233627272e+001	(4.08173032629001e+000dB,-5.81563803562701e-003°)
6.30957344480194e+001	(4.08173031454280e+000dB,-7.32145450627650e-003°)
7.94328234724282e+001	(4.08173029592475e+000dB,-9.21716512411653e-003°)
1.00000000000000e+002	(4.08173026641711e+000dB,-1.16037233892178e-002°)
1.25892541179417e+002	(4.08173021965067e+000dB,-1.46082222256942e-002°)
1.58489319246111e+002	(4.08173014553083e+000dB,-1.83906621403148e-002°)
1.99526231496888e+002	(4.08173002805883e+000dB,-2.31524718268600e-002°)
2.51188643150958e+002	(4.08172984187825e+000dB,-2.91472349664616e-002°)
3.16227766016838e+002	(4.08172954680192e+000dB,-3.66941944591407e-002°)
3.98107170553498e+002	(4.08172907913745e+000dB,-4.61952532241155e-002°)
5.01187233627273e+002	(4.08172833793925e+000dB,-5.81563768995383e-002°)
6.30957344480194e+002	(4.08172716321935e+000dB,-7.32145381656787e-002°)
7.94328234724282e+002	(4.08172530141392e+000dB,-9.21716374796687e-002°)
1.00000000000000e+003	(4.08172235065161e+000dB,-1.16037206434383e-001°)
1.25892541179417e+003	(4.08171767400953e+000dB,-1.46082167471440e-001°)
1.58489319246111e+003	(4.08171026203402e+000dB,-1.83906512091705e-001°)
1.99526231496888e+003	(4.08169851485112e+000dB,-2.31524500163615e-001°)
2.51188643150958e+003	(4.08167989683759e+000dB,-2.91471914488013e-001°)
3.16227766016838e+003	(4.08165038931657e+000dB,-3.66941076300097e-001°)
3.98107170553498e+003	(4.08160362315265e+000dB,-4.61950799772760e-001°)
5.01187233627273e+003	(4.08152950404220e+000dB,-5.81560312268162e-001°)
6.30957344480194e+003	(4.08141203383274e+000dB,-7.32138484584548e-001°)
7.94328234724283e+003	(4.08122585776564e+000dB,-9.21702613345193e-001°)
1.00000000000000e+004	(4.08093079277486e+000dB,-1.16034460669150e+000°)
1.25892541179417e+004	(4.08046315680653e+000dB,-1.46076688966395e+000°)
1.58489319246112e+004	(4.07972203018884e+000dB,-1.83895581090403e+000°)
1.99526231496888e+004	(4.07854749009570e+000dB,-2.31502690117748e+000°)
2.51188643150958e+004	(4.07668613642589e+000dB,-2.91428398261962e+000°)
3.16227766016839e+004	(4.07373650914291e+000dB,-3.66854251720072e+000°)
3.98107170553498e+004	(4.06906271930558e+000dB,-4.61777567400615e+000°)
5.01187233627273e+004	(4.06165791276385e+000dB,-5.81214685677467e+000°)
6.30957344480195e+004	(4.04992875539042e+000dB,-7.31448925144890e+000°)
7.94328234724283e+004	(4.03135609031770e+000dB,-9.20326945017532e+000°)
1.00000000000000e+005	(4.00196275487182e+000dB,-1.15760039642013e+001°)
1.25892541179417e+005	(3.95548447860676e+000dB,-1.45529353461415e+001°)
1.58489319246112e+005	(3.88209257143900e+000dB,-1.82804223562162e+001°)
1.99526231496888e+005	(3.76646407024510e+000dB,-2.29327747310609e+001°)
2.51188643150959e+005	(3.58496747369114e+000dB,-2.87098553078545e+001°)
3.16227766016839e+005	(3.30183095370641e+000dB,-3.58252595443734e+001°)
3.98107170553498e+005	(2.86464490766846e+000dB,-4.44761622096154e+001°)
5.01187233627273e+005	(2.20091978418858e+000dB,-5.47830037621385e+001°)
6.30957344480195e+005	(1.22004806900301e+000dB,-6.66934171918259e+001°)
