Freq.	V(vout)/V(v1)
1.00000000000000e+000	(-2.74988119434630e-004dB,1.79999823470415e+002°)
1.25892541179417e+000	(-2.74988134499831e-004dB,1.79999777762420e+002°)
1.58489319246111e+000	(-2.74988158376371e-004dB,1.79999720219463e+002°)
1.99526231496888e+000	(-2.74988196217779e-004dB,1.79999647777172e+002°)
2.51188643150958e+000	(-2.74988256194095e-004dB,1.79999556577731e+002°)
3.16227766016838e+000	(-2.74988351248934e-004dB,1.79999441764437e+002°)
3.98107170553497e+000	(-2.74988501897083e-004dB,1.79999297223065e+002°)
5.01187233627272e+000	(-2.74988740664408e-004dB,1.79999115256257e+002°)
6.30957344480194e+000	(-2.74989119080415e-004dB,1.79998886173619e+002°)
7.94328234724282e+000	(-2.74989718829119e-004dB,1.79998597775665e+002°)
1.00000000000000e+001	(-2.74990669365937e-004dB,1.79998234704152e+002°)
1.25892541179417e+001	(-2.74992175872499e-004dB,1.79997777624197e+002°)
1.58489319246111e+001	(-2.74994563525501e-004dB,1.79997202194628e+002°)
1.99526231496888e+001	(-2.74998347692322e-004dB,1.79996477771721e+002°)
2.51188643150958e+001	(-2.75004345201547e-004dB,1.79995565777314e+002°)
3.16227766016838e+001	(-2.75013850596753e-004dB,1.79994417644382e+002°)
3.98107170553498e+001	(-2.75028915656641e-004dB,1.79992972230661e+002°)
5.01187233627273e+001	(-2.75052792143390e-004dB,1.79991152562602e+002°)
6.30957344480194e+001	(-2.75090633838930e-004dB,1.79988861736254e+002°)
7.94328234724283e+001	(-2.75150608878004e-004dB,1.79985977756773e+002°)
1.00000000000000e+002	(-2.75245662905418e-004dB,1.79982347041763e+002°)
1.25892541179417e+002	(-2.75396313390880e-004dB,1.79977776242465e+002°)
1.58489319246112e+002	(-2.75635078305179e-004dB,1.79972021947259e+002°)
1.99526231496888e+002	(-2.76013495176672e-004dB,1.79964777719160e+002°)
2.51188643150958e+002	(-2.76613245435685e-004dB,1.79955657777043e+002°)
3.16227766016838e+002	(-2.77563785407515e-004dB,1.79944176451604e+002°)
3.98107170553498e+002	(-2.79070289360321e-004dB,1.79929722322136e+002°)
5.01187233627273e+002	(-2.81457936324362e-004dB,1.79911525657002e+002°)
6.30957344480194e+002	(-2.85242099483524e-004dB,1.79888617424349e+002°)
7.94328234724283e+002	(-2.91239588192826e-004dB,1.79859777691053e+002°)
1.00000000000000e+003	(-3.00744952913406e-004dB,1.79823470663692e+002°)
1.25892541179417e+003	(-3.15809904797908e-004dB,1.79777762915610e+002°)
1.58489319246112e+003	(-3.39686154131652e-004dB,1.79720220452179e+002°)
1.99526231496888e+003	(-3.77527232270149e-004dB,1.79647779146136e+002°)
2.51188643150959e+003	(-4.37500729436778e-004dB,1.79556581670212e+002°)
3.16227766016839e+003	(-5.32550885186891e-004dB,1.79441772297044e+002°)
3.98107170553498e+003	(-6.83191633999707e-004dB,1.79297238746203e+002°)
5.01187233627273e+003	(-9.21932099269708e-004dB,1.79115287545245e+002°)
6.30957344480195e+003	(-1.30028755237330e-003dB,1.78886236044278e+002°)
7.94328234724283e+003	(-1.89988356168654e-003dB,1.78597900210139e+002°)
1.00000000000000e+004	(-2.85003612465393e-003dB,1.78234952622954e+002°)
1.25892541179417e+004	(-4.35556722960749e-003dB,1.77778119871032e+002°)
1.58489319246112e+004	(-6.74077150682392e-003dB,1.77203183336899e+002°)
1.99526231496889e+004	(-1.05188029204644e-002dB,1.76479743538312e+002°)
2.51188643150959e+004	(-1.65009053700231e-002dB,1.75569708715487e+002°)
3.16227766016839e+004	(-2.59676849005282e-002dB,1.74425479433207e+002°)
3.98107170553498e+004	(-4.09359663287081e-002dB,1.72987834890220e+002°)
5.01187233627274e+004	(-6.45703835888231e-002dB,1.71183606734297e+002°)
6.30957344480195e+004	(-1.01807918180199e-001dB,1.68923394173206e+002°)
7.94328234724284e+004	(-1.60280690985018e-001dB,1.66099897497489e+002°)
1.00000000000000e+005	(-2.51620542013829e-001dB,1.62588014341840e+002°)
1.25892541179417e+005	(-3.93168104505563e-001dB,1.58248708946452e+002°)
1.58489319246112e+005	(-6.09914221203359e-001dB,1.52939659139612e+002°)
1.99526231496889e+005	(-9.36082453481564e-001dB,1.46535982783905e+002°)
2.51188643150959e+005	(-1.41514246602390e+000dB,1.38961975272745e+002°)
3.16227766016839e+005	(-2.09666830541059e+000dB,1.30227364895813e+002°)
3.98107170553499e+005	(-3.02935262645137e+000dB,1.20450642335330e+002°)
5.01187233627274e+005	(-4.25227891300380e+000dB,1.09848983109337e+002°)
6.30957344480196e+005	(-5.78920493979875e+000dB,9.86935280543485e+001°)
7.94328234724285e+005	(-7.64899008047495e+000dB,8.72604051360429e+001°)
1.00000000000000e+006	(-9.82939498445887e+000dB,7.58132082508851e+001°)
1.25892541179417e+006	(-1.23179803948472e+001dB,6.46166516815043e+001°)
1.58489319246112e+006	(-1.50875207527747e+001dB,5.39443706256292e+001°)
1.99526231496889e+006	(-1.80900071785081e+001dB,4.40516333699274e+001°)
2.51188643150959e+006	(-2.12550118238319e+001dB,3.51266346025186e+001°)
3.16227766016839e+006	(-2.44934741790085e+001dB,2.72599520447050e+001°)
3.98107170553499e+006	(-2.77035431879092e+001dB,2.04540296606078e+001°)
5.01187233627275e+006	(-3.07761992055878e+001dB,1.46608545923246e+001°)
6.30957344480196e+006	(-3.36025223477986e+001dB,9.81952094995389e+000°)
7.94328234724285e+006	(-3.60861037902012e+001dB,5.86955037115843e+000°)
1.00000000000000e+007	(-3.81602981676228e+001dB,2.73358240991652e+000°)
1.25892541179417e+007	(-3.98031271759421e+001dB,2.88439742597011e-001°)
1.58489319246112e+007	(-4.10401332813582e+001dB,-1.64361036293086e+000°)
1.99526231496889e+007	(-4.19323287247561e+001dB,-3.27157031403549e+000°)
2.51188643150959e+007	(-4.25564759179713e+001dB,-4.80036206370079e+000°)
3.16227766016839e+007	(-4.29879622434972e+001dB,-6.40860776789506e+000°)
3.98107170553499e+007	(-4.32916216546302e+001dB,-8.24599258688177e+000°)
5.01187233627275e+007	(-4.35199682927318e+001dB,-1.04416759267259e+001°)
6.30957344480196e+007	(-4.37158587601043e+001dB,-1.31134014780132e+001°)
7.94328234724286e+007	(-4.39169168221914e+001dB,-1.63706688898362e+001°)
1.00000000000001e+008	(-4.41600383520249e+001dB,-2.03080987760595e+001°)
1.25892541179417e+008	(-4.44847768212479e+001dB,-2.49865334681658e+001°)
1.58489319246112e+008	(-4.49342530106101e+001dB,-3.04024053908739e+001°)
1.99526231496889e+008	(-4.55520537996465e+001dB,-3.64537691995668e+001°)
2.51188643150959e+008	(-4.63746137405479e+001dB,-4.29229316492893e+001°)
3.16227766016840e+008	(-4.74215752794046e+001dB,-4.94991724634021e+001°)
3.98107170553499e+008	(-4.86896502308930e+001dB,-5.58455592981513e+001°)
5.01187233627275e+008	(-5.01544244527119e+001dB,-6.16797262819114e+001°)
6.30957344480197e+008	(-5.17790130232093e+001dB,-6.68259810060348e+001°)
7.94328234724286e+008	(-5.35241645354043e+001dB,-7.12207820899184e+001°)
1.00000000000001e+009	(-5.53552669813553e+001dB,-7.48856269676440e+001°)
1.25892541179417e+009	(-5.72451986144188e+001dB,-7.78913162276870e+001°)
1.58489319246112e+009	(-5.91742790405224e+001dB,-8.03288392950735e+001°)
1.99526231496889e+009	(-6.11289253596409e+001dB,-8.22909842288049e+001°)
2.51188643150960e+009	(-6.31000622296490e+001dB,-8.38628695439235e+001°)
3.16227766016840e+009	(-6.50817511259883e+001dB,-8.51182221614991e+001°)
3.98107170553500e+009	(-6.70701575487260e+001dB,-8.61188026148679e+001°)
5.01187233627275e+009	(-6.90628264593958e+001dB,-8.69153149570032e+001°)
6.30957344480197e+009	(-7.10581944472622e+001dB,-8.75488738743767e+001°)
7.94328234724287e+009	(-7.30552692884725e+001dB,-8.80525629652530e+001°)
1.00000000000001e+010	(-7.50534226187298e+001dB,-8.84528759391273e+001°)
1.25892541179418e+010	(-7.70522570427232e+001dB,-8.87709654494348e+001°)
1.58489319246112e+010	(-7.90515214521888e+001dB,-8.90236878964244e+001°)
1.99526231496889e+010	(-8.10510572615045e+001dB,-8.92244600307144e+001°)
2.51188643150960e+010	(-8.30507643513254e+001dB,-8.93839528211414e+001°)
3.16227766016840e+010	(-8.50505795272806e+001dB,-8.95106493729173e+001°)
3.98107170553500e+010	(-8.70504629071248e+001dB,-8.96112914923241e+001°)
5.01187233627276e+010	(-8.90503893231615e+001dB,-8.96912361091364e+001°)
6.30957344480198e+010	(-9.10503428941748e+001dB,-8.97547392474642e+001°)
7.94328234724287e+010	(-9.30503135992080e+001dB,-8.98051820202665e+001°)
1.00000000000000e+011	(-9.50502951152312e+001dB,-8.98452503579806e+001°)
