Freq.	V(vin)/-I(R5)
1.00000000000000e+001	(8.19273413328375e+001dB,-5.41648600729365e-004°)
1.25892541179417e+001	(8.19273413326075e+001dB,-6.81895187708514e-004°)
1.58489319246111e+001	(8.19273413322429e+001dB,-8.58455179961587e-004°)
1.99526231496888e+001	(8.19273413316650e+001dB,-1.08073104089047e-003°)
2.51188643150958e+001	(8.19273413307492e+001dB,-1.36055977059298e-003°)
3.16227766016838e+001	(8.19273413292977e+001dB,-1.71284326926724e-003°)
3.98107170553497e+001	(8.19273413269973e+001dB,-2.15634191770784e-003°)
5.01187233627272e+001	(8.19273413233514e+001dB,-2.71467363593467e-003°)
6.30957344480194e+001	(8.19273413175729e+001dB,-3.41757162344013e-003°)
7.94328234724282e+001	(8.19273413084148e+001dB,-4.30246776025148e-003°)
1.00000000000000e+002	(8.19273412939000e+001dB,-5.41648599057261e-003°)
1.25892541179417e+002	(8.19273412708957e+001dB,-6.81895184372228e-003°)
1.58489319246111e+002	(8.19273412344363e+001dB,-8.58455173304821e-003°)
1.99526231496888e+002	(8.19273411766521e+001dB,-1.08073102760847e-002°)
2.51188643150958e+002	(8.19273410850703e+001dB,-1.36055974409192e-002°)
3.16227766016838e+002	(8.19273409399230e+001dB,-1.71284321639067e-002°)
3.98107170553498e+002	(8.19273407098799e+001dB,-2.15634181220522e-002°)
5.01187233627273e+002	(8.19273403452863e+001dB,-2.71467342542927e-002°)
6.30957344480194e+002	(8.19273397674443e+001dB,-3.41757120342669e-002°)
7.94328234724282e+002	(8.19273388516267e+001dB,-4.30246692221461e-002°)
1.00000000000000e+003	(8.19273374001541e+001dB,-5.41648431846960e-002°)
1.25892541179417e+003	(8.19273350997261e+001dB,-6.81894850743935e-002°)
1.58489319246111e+003	(8.19273314537961e+001dB,-8.58454507629242e-002°)
1.99526231496888e+003	(8.19273256753932e+001dB,-1.08072969941228e-001°)
2.51188643150958e+003	(8.19273165172587e+001dB,-1.36055709399590e-001°)
3.16227766016838e+003	(8.19273020026363e+001dB,-1.71283792876598e-001°)
3.98107170553498e+003	(8.19272789986170e+001dB,-2.15633126204495e-001°)
5.01187233627273e+003	(8.19272425399720e+001dB,-2.71465237521227e-001°)
6.30957344480194e+003	(8.19271847575886e+001dB,-3.41752920310209e-001°)
7.94328234724283e+003	(8.19270931803774e+001dB,-4.30238312175169e-001°)
1.00000000000000e+004	(8.19269480445358e+001dB,-5.41631711836478e-001°)
1.25892541179417e+004	(8.19267180304211e+001dB,-6.81861491138949e-001°)
1.58489319246112e+004	(8.19263535094716e+001dB,-8.58387950266668e-001°)
1.99526231496888e+004	(8.19257758501429e+001dB,-1.08059691202971e+000°)
2.51188643150958e+004	(8.19248604911574e+001dB,-1.36029218631855e+000°)
3.16227766016839e+004	(8.19234101701031e+001dB,-1.71230948851797e+000°)
3.98107170553498e+004	(8.19211126332302e+001dB,-2.15527726451143e+000°)
5.01187233627273e+004	(8.19174739595719e+001dB,-2.71255057197260e+000°)
6.30957344480195e+004	(8.19117137605111e+001dB,-3.41333933680810e+000°)
7.94328234724283e+004	(8.19026012596299e+001dB,-4.29403516623697e+000°)
1.00000000000000e+005	(8.18882008977762e+001dB,-5.39969830121940e+000°)
1.25892541179417e+005	(8.18654824438532e+001dB,-6.78557388230874e+000°)
1.58489319246112e+005	(8.18297354339012e+001dB,-8.51832250663953e+000°)
1.99526231496888e+005	(8.17737184839167e+001dB,-1.06763104613198e+001°)
2.51188643150959e+005	(8.16864906653213e+001dB,-1.33477392031788e+001°)
3.16227766016839e+005	(8.15519578659142e+001dB,-1.66245998239124e+001°)
3.98107170553498e+005	(8.13473921141948e+001dB,-2.05896999941857e+001°)
5.01187233627273e+005	(8.10426049455639e+001dB,-2.52942798791762e+001°)
6.30957344480195e+005	(8.06009836524961e+001dB,-3.07268006844034e+001°)
7.94328234724283e+005	(7.99837760237652e+001dB,-3.67807942273958e+001°)
1.00000000000000e+006	(7.91580622645706e+001dB,-4.32390658325640e+001°)
1.25892541179417e+006	(7.81063787659417e+001dB,-4.97946587745120e+001°)
1.58489319246112e+006	(7.68331642452248e+001dB,-5.61141772252031e+001°)
1.99526231496888e+006	(7.53634994019136e+001dB,-6.19175449859729e+001°)
2.51188643150959e+006	(7.37347087261290e+001dB,-6.70311703760618e+001°)
3.16227766016839e+006	(7.19862487707728e+001dB,-7.13937960397433e+001°)
3.98107170553498e+006	(7.01527160263584e+001dB,-7.50288460753780e+001°)
5.01187233627274e+006	(6.82610875227309e+001dB,-7.80082675427430e+001°)
6.30957344480195e+006	(6.63308632336003e+001dB,-8.04234363789168e+001°)
7.94328234724284e+006	(6.43754637399624e+001dB,-8.23670115053149e+001°)
1.00000000000000e+007	(6.24038385069512e+001dB,-8.39237156830724e+001°)
1.25892541179417e+007	(6.04218360781780e+001dB,-8.51667859847386e+001°)
1.58489319246112e+007	(5.84332296390295e+001dB,-8.61574957107172e+001°)
1.99526231496889e+007	(5.64404336434587e+001dB,-8.69461092375651e+001°)
2.51188643150959e+007	(5.44449851161100e+001dB,-8.75733644641686e+001°)
3.16227766016839e+007	(5.24478593161589e+001dB,-8.80720315179808e+001°)
3.98107170553499e+007	(5.04496737764958e+001dB,-8.84683478832079e+001°)
5.01187233627274e+007	(4.84508190071584e+001dB,-8.87832590257669e+001°)
6.30957344480195e+007	(4.64515417516467e+001dB,-8.90334549240752e+001°)
7.94328234724284e+007	(4.44519978334375e+001dB,-8.92322192056160e+001°)
1.00000000000000e+008	(4.24522856258222e+001dB,-8.93901166286287e+001°)
