Freq.	V(vout)/V(v1)
1.00000000000000e+000	(-2.00001090715470e+001dB,1.79999929674821e+002°)
1.25892541179417e+000	(-2.00001090715472e+001dB,1.79999911465845e+002°)
1.58489319246111e+000	(-2.00001090715476e+001dB,1.79999888542102e+002°)
1.99526231496888e+000	(-2.00001090715481e+001dB,1.79999859682820e+002°)
2.51188643150958e+000	(-2.00001090715490e+001dB,1.79999823351137e+002°)
3.16227766016838e+000	(-2.00001090715504e+001dB,1.79999777612257e+002°)
3.98107170553497e+000	(-2.00001090715527e+001dB,1.79999720030419e+002°)
5.01187233627272e+000	(-2.00001090715562e+001dB,1.79999647539180e+002°)
6.30957344480194e+000	(-2.00001090715617e+001dB,1.79999556278117e+002°)
7.94328234724282e+000	(-2.00001090715706e+001dB,1.79999441387246e+002°)
1.00000000000000e+001	(-2.00001090715846e+001dB,1.79999296748208e+002°)
1.25892541179417e+001	(-2.00001090716069e+001dB,1.79999114658448e+002°)
1.58489319246111e+001	(-2.00001090716420e+001dB,1.79998885421022e+002°)
1.99526231496888e+001	(-2.00001090716979e+001dB,1.79998596828202e+002°)
2.51188643150958e+001	(-2.00001090717864e+001dB,1.79998233511366e+002°)
3.16227766016838e+001	(-2.00001090719266e+001dB,1.79997776122568e+002°)
3.98107170553498e+001	(-2.00001090721488e+001dB,1.79997200304188e+002°)
5.01187233627273e+001	(-2.00001090725011e+001dB,1.79996475391797e+002°)
6.30957344480194e+001	(-2.00001090730593e+001dB,1.79995562781165e+002°)
7.94328234724283e+001	(-2.00001090739440e+001dB,1.79994413872449e+002°)
1.00000000000000e+002	(-2.00001090753462e+001dB,1.79992967482068e+002°)
1.25892541179417e+002	(-2.00001090775687e+001dB,1.79991146584457e+002°)
1.58489319246112e+002	(-2.00001090810909e+001dB,1.79988854210172e+002°)
1.99526231496888e+002	(-2.00001090866733e+001dB,1.79985968281914e+002°)
2.51188643150958e+002	(-2.00001090955208e+001dB,1.79982335113455e+002°)
3.16227766016838e+002	(-2.00001091095431e+001dB,1.79977761225282e+002°)
3.98107170553498e+002	(-2.00001091317669e+001dB,1.79972003041082e+002°)
5.01187233627273e+002	(-2.00001091669894e+001dB,1.79964753916368e+002°)
6.30957344480194e+002	(-2.00001092228134e+001dB,1.79955627808459e+002°)
7.94328234724283e+002	(-2.00001093112886e+001dB,1.79944138718117e+002°)
1.00000000000000e+003	(-2.00001094515127e+001dB,1.79929674807963e+002°)
1.25892541179417e+003	(-2.00001096737541e+001dB,1.79911465819199e+002°)
1.58489319246112e+003	(-2.00001100259856e+001dB,1.79888542051110e+002°)
1.99526231496888e+003	(-2.00001105842417e+001dB,1.79859682718150e+002°)
2.51188643150959e+003	(-2.00001114690350e+001dB,1.79823350933053e+002°)
3.16227766016839e+003	(-2.00001128713804e+001dB,1.79777611850781e+002°)
3.98107170553498e+003	(-2.00001150940553e+001dB,1.79720029608640e+002°)
5.01187233627273e+003	(-2.00001186170266e+001dB,1.79647537563135e+002°)
6.30957344480195e+003	(-2.00001242012358e+001dB,1.79556274891107e+002°)
7.94328234724283e+003	(-2.00001330533085e+001dB,1.79441380809411e+002°)
1.00000000000000e+004	(-2.00001470871625e+001dB,1.79296735366555e+002°)
1.25892541179417e+004	(-2.00001693400334e+001dB,1.79114632826891e+002°)
1.58489319246112e+004	(-2.00002046353617e+001dB,1.78885369903662e+002°)
1.99526231496889e+004	(-2.00002606422665e+001dB,1.78596726214591e+002°)
2.51188643150959e+004	(-2.00003495769712e+001dB,1.78233307900992e+002°)
3.16227766016839e+004	(-2.00004909553180e+001dB,1.77775716685095e+002°)
3.98107170553498e+004	(-2.00007160956701e+001dB,1.77199494604185e+002°)
5.01187233627274e+004	(-2.00010756081753e+001dB,1.76473777285075e+002°)
6.30957344480195e+004	(-2.00016521495289e+001dB,1.75559562388830e+002°)
7.94328234724284e+004	(-2.00025828582204e+001dB,1.74407458369885e+002°)
1.00000000000000e+005	(-2.00041004772896e+001dB,1.72954710346834e+002°)
1.25892541179417e+005	(-2.00066124597638e+001dB,1.71121184104933e+002°)
1.58489319246112e+005	(-2.00108611267737e+001dB,1.68803791967728e+002°)
1.99526231496889e+005	(-2.00182639819842e+001dB,1.65868518312081e+002°)
2.51188643150959e+005	(-2.00316663111976e+001dB,1.62138719416557e+002°)
3.16227766016839e+005	(-2.00570510649422e+001dB,1.57377887632006e+002°)
3.98107170553499e+005	(-2.01074584293348e+001dB,1.51265575804429e+002°)
5.01187233627274e+005	(-2.02117964729068e+001dB,1.43370707905596e+002°)
6.30957344480196e+005	(-2.04332015864099e+001dB,1.33149906223957e+002°)
7.94328234724285e+005	(-2.08998760021253e+001dB,1.20065972725033e+002°)
1.00000000000000e+006	(-2.18283908315412e+001dB,1.04012854489266e+002°)
1.25892541179417e+006	(-2.34627775240855e+001dB,8.60127532219431e+001°)
1.58489319246112e+006	(-2.58882077589531e+001dB,6.82382668010724e+001°)
