Freq.	V(vin)/-I(R6)
1.25892541179417e+008	(4.04526930463776e+001dB,-8.97783355605249e+001°)
1.58489319246112e+008	(3.84527189598241e+001dB,-8.98239038530812e+001°)
1.99526231496889e+008	(3.64527364647187e+001dB,-8.98601007643880e+001°)
2.51188643150959e+008	(3.44527486937020e+001dB,-8.98888552378534e+001°)
3.16227766016840e+008	(3.24527574638875e+001dB,-8.99116992759530e+001°)
3.98107170553499e+008	(3.04527638038060e+001dB,-8.99298490160229e+001°)
5.01187233627275e+008	(2.84527683356224e+001dB,-8.99442696037509e+001°)
6.30957344480197e+008	(2.64527715019947e+001dB,-8.99557271648486e+001°)
7.94328234724286e+008	(2.44527736588530e+001dB,-8.99648301760211e+001°)
1.00000000000001e+009	(2.24527750955345e+001dB,-8.99720621490327e+001°)
1.25892541179417e+009	(2.04527760360453e+001dB,-8.99778073935642e+001°)
1.58489319246112e+009	(1.84527766441218e+001dB,-8.99823713776404e+001°)
1.99526231496889e+009	(1.64527770339305e+001dB,-8.99859968773997e+001°)
2.51188643150960e+009	(1.44527772824077e+001dB,-8.99888768172693e+001°)
3.16227766016840e+009	(1.24527774402124e+001dB,-8.99911644876624e+001°)
3.98107170553500e+009	(1.04527775401943e+001dB,-8.99929816757178e+001°)
5.01187233627275e+009	(8.45277760344488e+000dB,-8.99944251330893e+001°)
6.30957344480197e+009	(6.45277764341978e+000dB,-8.99955717188867e+001°)
7.94328234724287e+009	(4.45277766866880e+000dB,-8.99964824878057e+001°)
1.00000000000001e+010	(2.45277768461045e+000dB,-8.99972059390047e+001°)
1.25892541179418e+010	(4.52777694673180e-001dB,-8.99977805975876e+001°)
1.58489319246112e+010	(-1.54722229897599e+000dB,-8.99982370655612e+001°)
1.99526231496889e+010	(-3.54722229496821e+000dB,-8.99985996511795e+001°)
2.51188643150960e+010	(-5.54722229243921e+000dB,-8.99988876632833e+001°)
3.16227766016840e+010	(-7.54722229084341e+000dB,-8.99991164394842e+001°)
3.98107170553500e+010	(-9.54722228983649e+000dB,-8.99992981629075e+001°)
5.01187233627276e+010	(-1.15472222892011e+001dB,-8.99994425109674e+001°)
6.30957344480198e+010	(-1.35472222888003e+001dB,-8.99995571707139e+001°)
7.94328234724287e+010	(-1.55472222885473e+001dB,-8.99996482481914e+001°)
1.00000000000000e+011	(-1.75472222883877e+001dB,-8.99997205936051e+001°)
