Freq.	V(vin)/I(R1)
1.99526231496889e+008	(6.79686101966140e+001dB,-1.52057909318823e+000°)
2.51188643150959e+008	(6.79649945104069e+001dB,-1.20867186413695e+000°)
3.16227766016840e+008	(6.79627104043814e+001dB,-9.60500360367846e-001°)
3.98107170553499e+008	(6.79612681177755e+001dB,-7.63162412969717e-001°)
5.01187233627275e+008	(6.79603576464806e+001dB,-6.06306739405764e-001°)
6.30957344480197e+008	(6.79597829957900e+001dB,-4.81659373219474e-001°)
7.94328234724286e+008	(6.79594203420586e+001dB,-3.82622123939718e-001°)
1.00000000000001e+009	(6.79591914933125e+001dB,-3.03940835574510e-001°)
1.25892541179417e+009	(6.79590470875681e+001dB,-2.41435444770738e-001°)
1.58489319246112e+009	(6.79589559689126e+001dB,-1.91782327904102e-001°)
1.99526231496889e+009	(6.79588984750112e+001dB,-1.52339790784615e-001°)
2.51188643150960e+009	(6.79588621980464e+001dB,-1.21008635553321e-001°)
3.16227766016840e+009	(6.79588393085236e+001dB,-9.61209961141102e-002°)
3.98107170553500e+009	(6.79588248660893e+001dB,-7.63518317937519e-002°)
5.01187233627275e+009	(6.79588157534808e+001dB,-6.06485213343135e-002°)
6.30957344480197e+009	(6.79588100037943e+001dB,-4.81748857999953e-002°)
7.94328234724287e+009	(6.79588063759796e+001dB,-3.82666985135384e-002°)
1.00000000000001e+010	(6.79588040869802e+001dB,-3.03963323695339e-002°)
1.25892541179418e+010	(6.79588026427180e+001dB,-2.41446716942610e-002°)
1.58489319246112e+010	(6.79588017314497e+001dB,-1.91787977833535e-002°)
1.99526231496889e+010	(6.79588011564781e+001dB,-1.52342622605780e-002°)
2.51188643150960e+010	(6.79588007936954e+001dB,-1.21010054873554e-002°)
3.16227766016840e+010	(6.79588005647950e+001dB,-9.61217074744741e-003°)
3.98107170553500e+010	(6.79588004203686e+001dB,-7.63521883233111e-003°)
5.01187233627276e+010	(6.79588003292417e+001dB,-6.06487000239071e-003°)
6.30957344480198e+010	(6.79588002717445e+001dB,-4.81749753574238e-003°)
7.94328234724287e+010	(6.79588002354662e+001dB,-3.82667433987324e-003°)
1.00000000000000e+011	(6.79588002125762e+001dB,-3.03963548654686e-003°)
