v3	V(vin)	V(vout)
-1.500000000000000e+001	-1.500000e+001	-1.416740e+001
-1.490000000000000e+001	-1.490000e+001	-1.416740e+001
-1.480000000000000e+001	-1.480000e+001	-1.416740e+001
-1.470000000000000e+001	-1.470000e+001	-1.416740e+001
-1.460000000000000e+001	-1.460000e+001	-1.416740e+001
-1.450000000000000e+001	-1.450000e+001	-1.416740e+001
-1.440000000000000e+001	-1.440000e+001	-1.416740e+001
-1.430000000000000e+001	-1.430000e+001	-1.416740e+001
-1.420000000000000e+001	-1.420000e+001	-1.416740e+001
-1.410000000000000e+001	-1.410000e+001	-1.416740e+001
-1.400000000000000e+001	-1.400000e+001	-1.416740e+001
-1.390000000000000e+001	-1.390000e+001	-1.416740e+001
-1.380000000000000e+001	-1.380000e+001	-1.416740e+001
-1.370000000000001e+001	-1.370000e+001	-1.416740e+001
-1.360000000000001e+001	-1.360000e+001	-1.416740e+001
-1.350000000000001e+001	-1.350000e+001	-1.416740e+001
-1.340000000000001e+001	-1.340000e+001	-1.416740e+001
-1.330000000000001e+001	-1.330000e+001	-1.416740e+001
-1.320000000000001e+001	-1.320000e+001	-1.416740e+001
-1.310000000000001e+001	-1.310000e+001	-1.416740e+001
-1.300000000000001e+001	-1.300000e+001	-1.416740e+001
-1.290000000000001e+001	-1.290000e+001	-1.416740e+001
-1.280000000000001e+001	-1.280000e+001	-1.416740e+001
-1.270000000000001e+001	-1.270000e+001	-1.416740e+001
-1.260000000000001e+001	-1.260000e+001	-1.416740e+001
-1.250000000000001e+001	-1.250000e+001	-1.416740e+001
-1.240000000000001e+001	-1.240000e+001	-1.416740e+001
-1.230000000000001e+001	-1.230000e+001	-1.416740e+001
-1.220000000000001e+001	-1.220000e+001	-1.416740e+001
-1.210000000000001e+001	-1.210000e+001	-1.416740e+001
-1.200000000000001e+001	-1.200000e+001	-1.416740e+001
-1.190000000000001e+001	-1.190000e+001	-1.416740e+001
-1.180000000000001e+001	-1.180000e+001	-1.416740e+001
-1.170000000000001e+001	-1.170000e+001	-1.416740e+001
-1.160000000000001e+001	-1.160000e+001	-1.416740e+001
-1.150000000000001e+001	-1.150000e+001	-1.416740e+001
-1.140000000000001e+001	-1.140000e+001	-1.416740e+001
-1.130000000000001e+001	-1.130000e+001	-1.416740e+001
-1.120000000000001e+001	-1.120000e+001	-1.416740e+001
-1.110000000000001e+001	-1.110000e+001	-1.416740e+001
-1.100000000000001e+001	-1.100000e+001	-1.416740e+001
-1.090000000000002e+001	-1.090000e+001	-1.416740e+001
-1.080000000000002e+001	-1.080000e+001	-1.416740e+001
-1.070000000000002e+001	-1.070000e+001	-1.416740e+001
-1.060000000000002e+001	-1.060000e+001	-1.416740e+001
-1.050000000000002e+001	-1.050000e+001	-1.416740e+001
-1.040000000000002e+001	-1.040000e+001	-1.416740e+001
-1.030000000000002e+001	-1.030000e+001	-1.416740e+001
-1.020000000000002e+001	-1.020000e+001	-1.416740e+001
-1.010000000000002e+001	-1.010000e+001	-1.416740e+001
-1.000000000000002e+001	-1.000000e+001	-1.416740e+001
-9.900000000000018e+000	-9.900000e+000	-1.416740e+001
-9.800000000000019e+000	-9.800000e+000	-1.416740e+001
-9.700000000000019e+000	-9.700000e+000	-1.416740e+001
-9.600000000000019e+000	-9.600000e+000	-1.416740e+001
-9.500000000000020e+000	-9.500000e+000	-1.416740e+001
-9.400000000000020e+000	-9.400000e+000	-1.416740e+001
-9.300000000000020e+000	-9.300000e+000	-1.416740e+001
-9.200000000000021e+000	-9.200000e+000	-1.416740e+001
-9.100000000000021e+000	-9.100000e+000	-1.416740e+001
-9.000000000000021e+000	-9.000000e+000	-1.416740e+001
-8.900000000000022e+000	-8.900000e+000	-1.416740e+001
-8.800000000000022e+000	-8.800000e+000	-1.407384e+001
-8.700000000000022e+000	-8.700000e+000	-1.391384e+001
-8.600000000000023e+000	-8.600000e+000	-1.375384e+001
-8.500000000000023e+000	-8.500000e+000	-1.359384e+001
-8.400000000000023e+000	-8.400000e+000	-1.343384e+001
-8.300000000000024e+000	-8.300000e+000	-1.327384e+001
-8.200000000000024e+000	-8.200000e+000	-1.311384e+001
-8.100000000000025e+000	-8.100000e+000	-1.295384e+001
-8.000000000000025e+000	-8.000000e+000	-1.279385e+001
-7.900000000000025e+000	-7.900000e+000	-1.263385e+001
-7.800000000000026e+000	-7.800000e+000	-1.247385e+001
-7.700000000000026e+000	-7.700000e+000	-1.231385e+001
-7.600000000000026e+000	-7.600000e+000	-1.215385e+001
-7.500000000000027e+000	-7.500000e+000	-1.199385e+001
-7.400000000000027e+000	-7.400000e+000	-1.183385e+001
-7.300000000000027e+000	-7.300000e+000	-1.167385e+001
-7.200000000000028e+000	-7.200000e+000	-1.151386e+001
-7.100000000000028e+000	-7.100000e+000	-1.135386e+001
-7.000000000000028e+000	-7.000000e+000	-1.119386e+001
-6.900000000000029e+000	-6.900000e+000	-1.103386e+001
-6.800000000000029e+000	-6.800000e+000	-1.087386e+001
-6.700000000000030e+000	-6.700000e+000	-1.071386e+001
-6.600000000000030e+000	-6.600000e+000	-1.055386e+001
-6.500000000000030e+000	-6.500000e+000	-1.039387e+001
-6.400000000000031e+000	-6.400000e+000	-1.023387e+001
-6.300000000000031e+000	-6.300000e+000	-1.007387e+001
-6.200000000000031e+000	-6.200000e+000	-9.913870e+000
-6.100000000000032e+000	-6.100000e+000	-9.753871e+000
-6.000000000000032e+000	-6.000000e+000	-9.593872e+000
-5.900000000000032e+000	-5.900000e+000	-9.433873e+000
-5.800000000000033e+000	-5.800000e+000	-9.273875e+000
-5.700000000000033e+000	-5.700000e+000	-9.113876e+000
-5.600000000000033e+000	-5.600000e+000	-8.953877e+000
-5.500000000000034e+000	-5.500000e+000	-8.793879e+000
-5.400000000000034e+000	-5.400000e+000	-8.633881e+000
-5.300000000000035e+000	-5.300000e+000	-8.473882e+000
-5.200000000000035e+000	-5.200000e+000	-8.313883e+000
-5.100000000000035e+000	-5.100000e+000	-8.153884e+000
-5.000000000000036e+000	-5.000000e+000	-7.993886e+000
-4.900000000000036e+000	-4.900000e+000	-7.833887e+000
-4.800000000000036e+000	-4.800000e+000	-7.673888e+000
