Freq.	V(vout)/V(vin)
1.00000000000000e-001	(-2.74985430813215e-004dB,1.79999982347129e+002°)
1.02329299228075e-001	(-2.74985430824787e-004dB,1.79999981935941e+002°)
1.04712854805090e-001	(-2.74985430835395e-004dB,1.79999981515175e+002°)
1.07151930523761e-001	(-2.74985430849861e-004dB,1.79999981084608e+002°)
1.09647819614319e-001	(-2.74985430860468e-004dB,1.79999980644012e+002°)
1.12201845430196e-001	(-2.74985430877827e-004dB,1.79999980193153e+002°)
1.14815362149688e-001	(-2.74985430892292e-004dB,1.79999979731792e+002°)
1.17489755493953e-001	(-2.74985430908686e-004dB,1.79999979259685e+002°)
1.20226443461741e-001	(-2.74985430924116e-004dB,1.79999978776581e+002°)
1.23026877081238e-001	(-2.74985430946296e-004dB,1.79999978282224e+002°)
1.25892541179417e-001	(-2.74985430959797e-004dB,1.79999977776352e+002°)
1.28824955169313e-001	(-2.74985430981013e-004dB,1.79999977258697e+002°)
1.31825673855641e-001	(-2.74985431004158e-004dB,1.79999976728984e+002°)
1.34896288259165e-001	(-2.74985431024409e-004dB,1.79999976186932e+002°)
1.38038426460288e-001	(-2.74985431043696e-004dB,1.79999975632255e+002°)
1.41253754462275e-001	(-2.74985431069734e-004dB,1.79999975064657e+002°)
1.44543977074593e-001	(-2.74985431090950e-004dB,1.79999974483838e+002°)
1.47910838816821e-001	(-2.74985431117952e-004dB,1.79999973889490e+002°)
1.51356124843621e-001	(-2.74985431139168e-004dB,1.79999973281298e+002°)
1.54881661891248e-001	(-2.74985431166170e-004dB,1.79999972658940e+002°)
1.58489319246111e-001	(-2.74985431199922e-004dB,1.79999972022085e+002°)
1.62181009735893e-001	(-2.74985431232711e-004dB,1.79999971370395e+002°)
1.65958690743756e-001	(-2.74985431260677e-004dB,1.79999970703526e+002°)
1.69824365246174e-001	(-2.74985431295394e-004dB,1.79999970021124e+002°)
1.73780082874937e-001	(-2.74985431333968e-004dB,1.79999969322826e+002°)
1.77827941003892e-001	(-2.74985431367721e-004dB,1.79999968608263e+002°)
1.81970085860998e-001	(-2.74985431407259e-004dB,1.79999967877055e+002°)
1.86208713666287e-001	(-2.74985431446798e-004dB,1.79999967128816e+002°)
1.90546071796325e-001	(-2.74985431487301e-004dB,1.79999966363148e+002°)
1.94984459975804e-001	(-2.74985431532626e-004dB,1.79999965579645e+002°)
1.99526231496888e-001	(-2.74985431577951e-004dB,1.79999964777892e+002°)
2.04173794466953e-001	(-2.74985431628097e-004dB,1.79999963957463e+002°)
2.08929613085404e-001	(-2.74985431680173e-004dB,1.79999963117925e+002°)
2.13796208950223e-001	(-2.74985431732248e-004dB,1.79999962258831e+002°)
2.18776162394955e-001	(-2.74985431790110e-004dB,1.79999961379726e+002°)
2.23872113856834e-001	(-2.74985431847971e-004dB,1.79999960480144e+002°)
2.29086765276777e-001	(-2.74985431910654e-004dB,1.79999959559609e+002°)
2.34422881531992e-001	(-2.74985431970444e-004dB,1.79999958617631e+002°)
2.39883291901949e-001	(-2.74985432036985e-004dB,1.79999957653712e+002°)
2.45470891568503e-001	(-2.74985432114134e-004dB,1.79999956667340e+002°)
2.51188643150958e-001	(-2.74985432184532e-004dB,1.79999955657993e+002°)
2.57039578276886e-001	(-2.74985432262645e-004dB,1.79999954625135e+002°)
2.63026799189538e-001	(-2.74985432342687e-004dB,1.79999953568218e+002°)
2.69153480392691e-001	(-2.74985432419835e-004dB,1.79999952486683e+002°)
2.75422870333816e-001	(-2.74985432510485e-004dB,1.79999951379956e+002°)
2.81838293126445e-001	(-2.74985432599206e-004dB,1.79999950247449e+002°)
