Freq.	V(vin)/I(R1)
1.00000000000000e+000	(8.79588092578470e+001dB,5.85727319169149e-006°)
1.25892541179417e+000	(8.79588092578473e+001dB,7.37387006484078e-006°)
1.58489319246111e+000	(8.79588092578478e+001dB,9.28315240789580e-006°)
1.99526231496888e+000	(8.79588092578486e+001dB,1.16867964678576e-005°)
2.51188643150958e+000	(8.79588092578498e+001dB,1.47128050558501e-005°)
3.16227766016838e+000	(8.79588092578518e+001dB,1.85223241635796e-005°)
3.98107170553497e+000	(8.79588092578549e+001dB,2.33182245750121e-005°)
5.01187233627272e+000	(8.79588092578599e+001dB,2.93559054753907e-005°)
6.30957344480194e+000	(8.79588092578677e+001dB,3.69568953891665e-005°)
7.94328234724282e+000	(8.79588092578802e+001dB,4.65259747463797e-005°)
1.00000000000000e+001	(8.79588092578999e+001dB,5.85727319165901e-005°)
1.25892541179417e+001	(8.79588092579312e+001dB,7.37387006477611e-005°)
1.58489319246111e+001	(8.79588092579807e+001dB,9.28315240776662e-005°)
1.99526231496888e+001	(8.79588092580592e+001dB,1.16867964676000e-004°)
2.51188643150958e+001	(8.79588092581837e+001dB,1.47128050553367e-004°)
3.16227766016838e+001	(8.79588092583809e+001dB,1.85223241625550e-004°)
3.98107170553498e+001	(8.79588092586935e+001dB,2.33182245729673e-004°)
5.01187233627273e+001	(8.79588092591890e+001dB,2.93559054713113e-004°)
6.30957344480194e+001	(8.79588092599742e+001dB,3.69568953810264e-004°)
7.94328234724283e+001	(8.79588092612187e+001dB,4.65259747301384e-004°)
1.00000000000000e+002	(8.79588092631912e+001dB,5.85727318841848e-004°)
1.25892541179417e+002	(8.79588092663172e+001dB,7.37387005831020e-004°)
1.58489319246112e+002	(8.79588092712717e+001dB,9.28315239486580e-004°)
1.99526231496888e+002	(8.79588092791241e+001dB,1.16867964418588e-003°)
2.51188643150958e+002	(8.79588092915693e+001dB,1.47128050039759e-003°)
3.16227766016838e+002	(8.79588093112935e+001dB,1.85223240600774e-003°)
3.98107170553498e+002	(8.79588093425544e+001dB,2.33182243684972e-003°)
5.01187233627273e+002	(8.79588093920995e+001dB,2.93559050633398e-003°)
6.30957344480194e+002	(8.79588094706232e+001dB,3.69568945670157e-003°)
7.94328234724283e+002	(8.79588095950749e+001dB,4.65259731059717e-003°)
1.00000000000000e+003	(8.79588097923176e+001dB,5.85727286435373e-003°)
1.25892541179417e+003	(8.79588101049263e+001dB,7.37386941171323e-003°)
1.58489319246112e+003	(8.79588106003782e+001dB,9.28315110472652e-003°)
1.99526231496888e+003	(8.79588113856176e+001dB,1.16867938676644e-002°)
2.51188643150959e+003	(8.79588126301406e+001dB,1.47127998676951e-002°)
3.16227766016839e+003	(8.79588146025830e+001dB,1.85223138115715e-002°)
3.98107170553498e+003	(8.79588177287095e+001dB,2.33182039191611e-002°)
5.01187233627273e+003	(8.79588226833259e+001dB,2.93558642587692e-002°)
6.30957344480195e+003	(8.79588305359639e+001dB,3.69568131424038e-002°)
7.94328234724283e+003	(8.79588429818082e+001dB,4.65258106147137e-002°)
1.00000000000000e+004	(8.79588627077743e+001dB,5.85724043429494e-002°)
1.25892541179417e+004	(8.79588939729118e+001dB,7.37380467744215e-002°)
1.58489319246112e+004	(8.79589435288037e+001dB,9.28302185497391e-002°)
1.99526231496889e+004	(8.79590220796152e+001dB,1.16865357025450e-001°)
2.51188643150959e+004	(8.79591465994102e+001dB,1.47122838816143e-001°)
3.16227766016839e+004	(8.79593440131169e+001dB,1.85212815047124e-001°)
3.98107170553498e+004	(8.79596570511787e+001dB,2.33161354083231e-001°)
5.01187233627274e+004	(8.79601535803873e+001dB,2.93517092523271e-001°)
6.30957344480195e+004	(8.79609415216771e+001dB,3.69484349766886e-001°)
7.94328234724284e+004	(8.79621928152046e+001dB,4.65088163360141e-001°)
1.00000000000000e+005	(8.79641821986641e+001dB,5.85376189784400e-001°)
1.25892541179417e+005	(8.79673506165350e+001dB,7.36658699262752e-001°)
1.58489319246112e+005	(8.79724104117808e+001dB,9.26774624698289e-001°)
1.99526231496889e+005	(8.79805230134019e+001dB,1.16533015064065e+000°)
2.51188643150959e+005	(8.79936047413358e+001dB,1.46373152802556e+000°)
