Freq.	V(vin)/I(R1)
1.99526231496889e+008	(9.14745091215529e+001dB,5.15136875689951e-006°)
2.51188643150959e+008	(9.14744851054047e+001dB,2.95411863716035e-006°)
3.16227766016840e+008	(9.14744699516652e+001dB,1.77629437554916e-006°)
3.98107170553499e+008	(9.14744603900733e+001dB,1.12515622919340e-006°)
5.01187233627275e+008	(9.14744543570256e+001dB,7.50500253850345e-007°)
6.30957344480197e+008	(9.14744505503936e+001dB,5.24351445161866e-007°)
7.94328234724286e+008	(9.14744481485568e+001dB,3.80525723747476e-007°)
1.00000000000001e+009	(9.14744466330944e+001dB,2.84228843025091e-007°)
1.25892541179417e+009	(9.14744456769000e+001dB,2.16732828310258e-007°)
1.58489319246112e+009	(9.14744450735813e+001dB,1.67627186290440e-007°)
1.99526231496889e+009	(9.14744446929125e+001dB,1.30880718196460e-007°)
2.51188643150960e+009	(9.14744444527266e+001dB,1.02824409610633e-007°)
3.16227766016840e+009	(9.14744443011795e+001dB,8.11060606208889e-008°)
3.98107170553500e+009	(9.14744442055597e+001dB,6.41390212872608e-008°)
5.01187233627275e+009	(9.14744441452277e+001dB,5.08041898843557e-008°)
6.30957344480197e+009	(9.14744441071608e+001dB,4.02834095675871e-008°)
7.94328234724287e+009	(9.14744440831421e+001dB,3.19622679102792e-008°)
1.00000000000001e+010	(9.14744440679874e+001dB,2.53704982766809e-008°)
1.25892541179418e+010	(9.14744440584254e+001dB,2.01434649204875e-008°)
1.58489319246112e+010	(9.14744440523922e+001dB,1.59959931317495e-008°)
1.99526231496889e+010	(9.14744440485855e+001dB,1.27037986778698e-008°)
2.51188643150960e+010	(9.14744440461837e+001dB,1.00898481291834e-008°)
3.16227766016840e+010	(9.14744440446682e+001dB,8.01408097384309e-009°)
3.98107170553500e+010	(9.14744440437120e+001dB,6.36552500180939e-009°)
5.01187233627276e+010	(9.14744440431087e+001dB,5.05617303163286e-009°)
6.30957344480198e+010	(9.14744440427280e+001dB,4.01618908566229e-009°)
7.94328234724287e+010	(9.14744440424878e+001dB,3.19013646693376e-009°)
1.00000000000000e+011	(9.14744440423363e+001dB,2.53399723470131e-009°)
