Frecuencia (Hz),Vin (V),Vr (V),R (ohm),Fase (°),Iin (A),Zin (ohm)
,,,,,,
50,0.138,0.35,33000,-0,0.00001060606061,13011.42857
1.00E+01,0.138,0.35,33000,-1,0.00001060606061,13011.42857
1.00E+02,0.138,0.35,33000,-0.8,0.00001060606061,13011.42857
5.00E+02,0.137,0.348,33000,-1,0.00001054545455,12991.37931
7.50E+02,0.136,0.347,33000,-1,0.00001051515152,12933.71758
1.00E+03,0.109,0.277,33000,-2,0.000008393939394,12985.55957
5.00E+03,0.109,0.278,33000,-1.97,0.000008424242424,12938.84892
1.00E+04,0.135,0.35,33000,-2,0.00001060606061,12728.57143
7.50E+04,0.136,0.354,33000,-8.36,0.00001072727273,12677.9661
5.00E+04,0.136,0.354,33000,-5.2,0.00001072727273,12677.9661
1.00E+05,0.136,0.354,33000,-10.85,0.00001072727273,12677.9661
2.00E+05,0.133,0.361,33000,-20.85,0.00001093939394,12157.89474
5.00E+05,0.088,0.322,33000,-44.6,0.000009757575758,9018.63354
3.00E+05,0.102,0.299,33000,-30,0.000009060606061,11257.52508
4.00E+05,0.096,0.312,33000,-38.5,0.000009454545455,10153.84615
6.00E+05,0.081,0.334,33000,-49.77,0.00001012121212,8002.994012
7.00E+05,0.074,0.342,33000,-52.3,0.00001036363636,7140.350877
8.00E+05,0.069,0.347,33000,-54.2,0.00001051515152,6561.959654
9.00E+05,0.064,0.352,33000,-55.9,0.00001066666667,6000
1.50E+06,0.044,0.366,33000,-60.9,0.00001109090909,3967.213115
1.00E+06,0.059,0.355,33000,-57.5,0.00001075757576,5484.507042
2.00E+06,0.035,0.37,33000,-60.3,0.00001121212121,3121.621622
