Frecuencia (Hz),Ganancia (dB),Fase (°)
,,
10,3.9,-1
100,3.9,-0.99
1000,4.1,-1.1
3000,4,-1.26
6000,4.6,-1.85
15000,4,-2.66
50000,3.9,-7.13
75000,3.9,-10.6
100000,3.9,-14
150000,3.89,-22.77
200000,3.62,-34.54
300000,3.26,-36.7
10000,4,-2.37
25000,4,-4
400000,1.83,-64.95
500000,0.07,-82
600000,-1.62,-95.84
700000,-3.12,-106.6
800000,-3.95,-112
900000,-5.68,-123.9
1000000,-6.74,-129.8
1100000,-7.75,-132.6
1200000,-8.67,-136
2000000,-13.93,-229
