Frecuencia (Hz),Ganancia (dB),Fase (°)
,,
1000,-1.1,-0.48
50000,1.9,0.03
100000,-1.01,-5.89
200000,2.28,-18.4
300000,2.58,-30.9
500000,1.86,-80.37
1000000,-5.2,-150
10000,-1.1833,-0.98
2000000,-13.023,-253
