Frecuencia (Hz),Ganancia (dB),Fase (°)
,,
100,18.899,0.0202
1000,18.9,-1
100000,14.2,-60
1000000,-7.16,-144.9
15000,18.7,-10.081
50000,17.5,-35.34
80000,15.6,-52.17
90000,14.83,-57.223
300000,4.7995,-97
500000,0.092,-114.19
6000,18.8,-3.41
150000,11,-76.7
200000,8.52,-85.069
250000,6.7,-93
30000,18.4,-20.7
120000,12.8,-67.5
3000,18.874,-1.97
6000,18.8,-3.67
