x-axis,1,2
second,Volt,Volt
+15.4436000E-03,+199.9218974E-03,+207.0312500E-03
+15.4437000E-03,+200.7031474E-03,+226.5625000E-03
+15.4438000E-03,+199.9218974E-03,+226.5625000E-03
+15.4439000E-03,+199.5312723E-03,+207.0312500E-03
+15.4440000E-03,+200.3125224E-03,+207.0312500E-03
+15.4441000E-03,+199.5312723E-03,+226.5625000E-03
+15.4442000E-03,+199.5312723E-03,+246.0937500E-03
+15.4443000E-03,+198.7500223E-03,+246.0937500E-03
+15.4444000E-03,+199.9218974E-03,+265.6250000E-03
+15.4445000E-03,+199.9218974E-03,+246.0937500E-03
+15.4446000E-03,+201.0937724E-03,+285.1562500E-03
+15.4447000E-03,+200.3125224E-03,+304.6875000E-03
+15.4448000E-03,+199.9218974E-03,+285.1562500E-03
+15.4449000E-03,+200.3125224E-03,+265.6250000E-03
+15.4450000E-03,+200.7031474E-03,+304.6875000E-03
+15.4451000E-03,+200.3125224E-03,+265.6250000E-03
+15.4452000E-03,+200.3125224E-03,+246.0937500E-03
+15.4453000E-03,+201.0937724E-03,+265.6250000E-03
+15.4454000E-03,+200.7031474E-03,+226.5625000E-03
+15.4455000E-03,+200.7031474E-03,+207.0312500E-03
+15.4456000E-03,+200.3125224E-03,+167.9687500E-03
+15.4457000E-03,+197.9687723E-03,+167.9687500E-03
+15.4458000E-03,+199.1406473E-03,+148.4375000E-03
+15.4459000E-03,+199.1406473E-03,+167.9687500E-03
+15.4460000E-03,+198.7500223E-03,+207.0312500E-03
+15.4461000E-03,+199.5312723E-03,+187.5000000E-03
+15.4462000E-03,+199.9218974E-03,+226.5625000E-03
+15.4463000E-03,+199.1406473E-03,+226.5625000E-03
+15.4464000E-03,+200.3125224E-03,+285.1562500E-03
+15.4465000E-03,+201.0937724E-03,+304.6875000E-03
+15.4466000E-03,+199.5312723E-03,+304.6875000E-03
+15.4467000E-03,+200.7031474E-03,+265.6250000E-03
+15.4468000E-03,+199.9218974E-03,+304.6875000E-03
+15.4469000E-03,+201.0937724E-03,+285.1562500E-03
+15.4470000E-03,+200.7031474E-03,+246.0937500E-03
+15.4471000E-03,+200.3125224E-03,+285.1562500E-03
+15.4472000E-03,+201.4843974E-03,+265.6250000E-03
+15.4473000E-03,+201.0937724E-03,+265.6250000E-03
+15.4474000E-03,+200.3125224E-03,+246.0937500E-03
+15.4475000E-03,+199.5312723E-03,+207.0312500E-03
+15.4476000E-03,+200.3125224E-03,+226.5625000E-03
+15.4477000E-03,+198.7500223E-03,+187.5000000E-03
