Freq.	V(vin)/I(R6)
1.99526231496889e+008	(3.64527364647187e+001dB,9.01398992356121e+001°)
2.51188643150959e+008	(3.44527486937020e+001dB,9.01111447621466e+001°)
3.16227766016840e+008	(3.24527574638875e+001dB,9.00883007240471e+001°)
3.98107170553499e+008	(3.04527638038060e+001dB,9.00701509839771e+001°)
5.01187233627275e+008	(2.84527683356224e+001dB,9.00557303962492e+001°)
6.30957344480197e+008	(2.64527715019947e+001dB,9.00442728351515e+001°)
7.94328234724286e+008	(2.44527736588530e+001dB,9.00351698239789e+001°)
1.00000000000001e+009	(2.24527750955345e+001dB,9.00279378509673e+001°)
1.25892541179417e+009	(2.04527760360453e+001dB,9.00221926064358e+001°)
1.58489319246112e+009	(1.84527766441218e+001dB,9.00176286223596e+001°)
1.99526231496889e+009	(1.64527770339305e+001dB,9.00140031226003e+001°)
2.51188643150960e+009	(1.44527772824077e+001dB,9.00111231827307e+001°)
3.16227766016840e+009	(1.24527774402124e+001dB,9.00088355123376e+001°)
3.98107170553500e+009	(1.04527775401943e+001dB,9.00070183242822e+001°)
5.01187233627275e+009	(8.45277760344488e+000dB,9.00055748669107e+001°)
6.30957344480197e+009	(6.45277764341978e+000dB,9.00044282811133e+001°)
7.94328234724287e+009	(4.45277766866880e+000dB,9.00035175121943e+001°)
1.00000000000001e+010	(2.45277768461045e+000dB,9.00027940609953e+001°)
1.25892541179418e+010	(4.52777694673180e-001dB,9.00022194024124e+001°)
1.58489319246112e+010	(-1.54722229897599e+000dB,9.00017629344388e+001°)
1.99526231496889e+010	(-3.54722229496821e+000dB,9.00014003488205e+001°)
2.51188643150960e+010	(-5.54722229243921e+000dB,9.00011123367167e+001°)
3.16227766016840e+010	(-7.54722229084341e+000dB,9.00008835605158e+001°)
3.98107170553500e+010	(-9.54722228983649e+000dB,9.00007018370925e+001°)
5.01187233627276e+010	(-1.15472222892011e+001dB,9.00005574890326e+001°)
6.30957344480198e+010	(-1.35472222888003e+001dB,9.00004428292861e+001°)
7.94328234724287e+010	(-1.55472222885473e+001dB,9.00003517518086e+001°)
1.00000000000000e+011	(-1.75472222883877e+001dB,9.00002794063949e+001°)
